ProjectID,Title,Abstract,InitialDate,Description,CloseDate,PI,CO-PI,Faculty
3,CSIA,"who design or evaluate security systems to system administrators and programmers who want
a better understanding of this important field. It can also be used as a textbook at the graduate
or advanced undergraduate le;;;;lll..vel.Prentice Hall Series in Computer Networking and",1992-12-20,"In eget posuere nisi. Aenean et risus dolor. Etiam faucibus vestibulum enim. Morbi pharetra pharetra ultrices. Fusce sit amet mattis nulla. Pellentesque vehicula lectus vulputate, pharetra dui in, imperdiet arcu. Integer at venenatis est, id bibendum diam. Etiam elementum quam nibh, at ultrices nunc porttitor nec.'''''''''''",2014-04-01,"ACong AQi",,
3,CSIA,"who design or evaluate security systems to system administrators and programmers who want
a better understanding of this important field. It can also be used as a textbook at the graduate
or advanced undergraduate le;;;;lll..vel.Prentice Hall Series in Computer Networking and",1992-12-20,"In eget posuere nisi. Aenean et risus dolor. Etiam faucibus vestibulum enim. Morbi pharetra pharetra ultrices. Fusce sit amet mattis nulla. Pellentesque vehicula lectus vulputate, pharetra dui in, imperdiet arcu. Integer at venenatis est, id bibendum diam. Etiam elementum quam nibh, at ultrices nunc porttitor nec.'''''''''''",2014-04-01,,"asdfasdf asdfasdf",
3,CSIA,"who design or evaluate security systems to system administrators and programmers who want
a better understanding of this important field. It can also be used as a textbook at the graduate
or advanced undergraduate le;;;;lll..vel.Prentice Hall Series in Computer Networking and",1992-12-20,"In eget posuere nisi. Aenean et risus dolor. Etiam faucibus vestibulum enim. Morbi pharetra pharetra ultrices. Fusce sit amet mattis nulla. Pellentesque vehicula lectus vulputate, pharetra dui in, imperdiet arcu. Integer at venenatis est, id bibendum diam. Etiam elementum quam nibh, at ultrices nunc porttitor nec.'''''''''''",2014-04-01,,,"Juan Katz"
4,"Computer Security","Abstract This paper presents a class@ cation of intrusions with respect to technique as well 
as to result. The taxonomy is intended to be a step on the road to an established taxonomy 
of intrusions for use in incident reporting, statistics, warning bulletins, intrusion detection",2014-04-01,"Nulla elementum, lacus convallis bibendum fringilla, augue neque euismod libero, et elementum nulla libero non ante. Phasellus faucibus commodo sapien, ut commodo felis pretium vel. Fusce hendrerit rhoncus imperdiet. Pellentesque at urna rhoncus, placerat ligula ut, malesuada dui. Etiam fermentum, justo a vulputate condimentum, tortor dolor varius sem, id tristique magna orci ac massa. Sed rhoncus velit eu nulla viverra scelerisque sed non leo. Nullam at sollicitudin quam, eu convallis est. Curabitur sollicitudin, risus a vehicula interdum, lectus nulla ultricies augue, sed elementum nisi lorem ac diam. Aliquam sem erat, rhoncus quis dictum at, interdum a mauris. Pellentesque elementum nulla vitae elit adipiscing elementum. Suspendisse potenti. Mauris in sollicitudin arcu. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Sed elementum vestibulum augue ac lacinia.",2014-04-26,"Pricilla Stephens",,
5,Computer,"The Computer Crime and Security Survey is conducted by the Computer Security Institute 
(CSI) with the participation of the San Francisco Federal Bureau of Investigation's (FBI) 
Computer Intrusion Squad. The survey is now in its 10th year and is, we believe",1992-04-25,"Vivamus dui elit, posuere eget fringilla eu, posuere vitae elit. Mauris fermentum mollis mi, in porta eros sodales sit amet. Nulla facilisis, lorem sit amet sollicitudin venenatis, dui urna rhoncus sem, vel ornare tellus velit at ipsum. Curabitur vitae tempus magna. Proin consectetur rutrum augue ut consequat. Sed blandit iaculis tincidunt. Integer et nulla nec magna malesuada dignissim ullamcorper nec nulla. Ut sit amet molestie nulla. Mauris fringilla porttitor magna. Nullam arcu nibh, malesuada at neque at, porta pulvinar lectus. Quisque sagittis scelerisque nisl sit amet ultricies. Praesent dapibus, magna id laoreet luctus, mauris lorem condimentum turpis, sit amet vestibulum orci nibh non odio. Duis metus ligula, aliquam in convallis et, placerat vitae tortor. Mauris eu tincidunt justo, eu dignissim sapien. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",0000-00-00,"Gordon Polk",,
5,Computer,"The Computer Crime and Security Survey is conducted by the Computer Security Institute 
(CSI) with the participation of the San Francisco Federal Bureau of Investigation's (FBI) 
Computer Intrusion Squad. The survey is now in its 10th year and is, we believe",1992-04-25,"Vivamus dui elit, posuere eget fringilla eu, posuere vitae elit. Mauris fermentum mollis mi, in porta eros sodales sit amet. Nulla facilisis, lorem sit amet sollicitudin venenatis, dui urna rhoncus sem, vel ornare tellus velit at ipsum. Curabitur vitae tempus magna. Proin consectetur rutrum augue ut consequat. Sed blandit iaculis tincidunt. Integer et nulla nec magna malesuada dignissim ullamcorper nec nulla. Ut sit amet molestie nulla. Mauris fringilla porttitor magna. Nullam arcu nibh, malesuada at neque at, porta pulvinar lectus. Quisque sagittis scelerisque nisl sit amet ultricies. Praesent dapibus, magna id laoreet luctus, mauris lorem condimentum turpis, sit amet vestibulum orci nibh non odio. Duis metus ligula, aliquam in convallis et, placerat vitae tortor. Mauris eu tincidunt justo, eu dignissim sapien. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",0000-00-00,,,"a Cloninger"
6,"BitBlaze: A new approach to","This comprehensive manual deals with intentional and accidental dangers and threats to a 
corporations computer mainframe systems and PC networks. Demonstrates how to detect 
and prevent these hazards from taking place and to minimize the possibility of losses due",1995-03-07,"Nulla id interdum urna. Quisque congue vitae augue a volutpat. Fusce ac lorem fermentum, cursus diam vel, sodales mauris. Nunc luctus urna odio, eu eleifend felis elementum a. Praesent tincidunt sit amet nisi nec fringilla. Aliquam blandit arcu sed enim imperdiet, adipiscing bibendum odio bibendum. Integer venenatis erat id velit euismod adipiscing. Cras velit lacus, condimentum vulputate diam egestas, interdum convallis ante. Vivamus non tristique est.",2001-12-25,"Charlie Brock",,
6,"BitBlaze: A new approach to","This comprehensive manual deals with intentional and accidental dangers and threats to a 
corporations computer mainframe systems and PC networks. Demonstrates how to detect 
and prevent these hazards from taking place and to minimize the possibility of losses due",1995-03-07,"Nulla id interdum urna. Quisque congue vitae augue a volutpat. Fusce ac lorem fermentum, cursus diam vel, sodales mauris. Nunc luctus urna odio, eu eleifend felis elementum a. Praesent tincidunt sit amet nisi nec fringilla. Aliquam blandit arcu sed enim imperdiet, adipiscing bibendum odio bibendum. Integer venenatis erat id velit euismod adipiscing. Cras velit lacus, condimentum vulputate diam egestas, interdum convallis ante. Vivamus non tristique est.",2001-12-25,,,"Leono Damm"
7,"Vivamus id mi et purus blandit euismod. Vivamus eu luctus tellus, vehicula feugiat tellus.","Vivamus id mi et purus blandit euismod. Vivamus eu luctus tellus, vehicula feugiat tellus. Donec vel libero lacus. Etiam nec vestibulum neque. Mauris lacinia sed urna vel porttitor. Morbi luctus dictum odio vitae iaculis. Morbi vel ante cursus, aliquam risus eu, sollicitudin risus.",1994-12-12,"Nam facilisis erat non nisi blandit, in euismod libero feugiat. Curabitur in massa varius quam eleifend varius. Nullam consequat nunc quis nibh vulputate, a fermentum turpis gravida. Aliquam erat volutpat. Nullam eu velit metus. Sed aliquam mattis mauris eget accumsan. Quisque tincidunt purus ligula, a convallis urna euismod vitae. Nunc gravida nunc risus, sit amet semper nunc dictum id. Nulla ornare, est lacinia congue tristique, felis ligula adipiscing diam, eget varius purus eros vitae nibh. In ultricies dolor sit amet metus malesuada pellentesque. In feugiat massa eget elit mattis tincidunt. Pellentesque id elit eget nunc tempor dictum. Cras vel fringilla elit, at eleifend purus. Donec volutpat magna id vehicula tempus. Vestibulum lorem erat, pretium quis metus eleifend, hendrerit facilisis enim.",0000-00-00,"Gordon Polk",,
7,"Vivamus id mi et purus blandit euismod. Vivamus eu luctus tellus, vehicula feugiat tellus.","Vivamus id mi et purus blandit euismod. Vivamus eu luctus tellus, vehicula feugiat tellus. Donec vel libero lacus. Etiam nec vestibulum neque. Mauris lacinia sed urna vel porttitor. Morbi luctus dictum odio vitae iaculis. Morbi vel ante cursus, aliquam risus eu, sollicitudin risus.",1994-12-12,"Nam facilisis erat non nisi blandit, in euismod libero feugiat. Curabitur in massa varius quam eleifend varius. Nullam consequat nunc quis nibh vulputate, a fermentum turpis gravida. Aliquam erat volutpat. Nullam eu velit metus. Sed aliquam mattis mauris eget accumsan. Quisque tincidunt purus ligula, a convallis urna euismod vitae. Nunc gravida nunc risus, sit amet semper nunc dictum id. Nulla ornare, est lacinia congue tristique, felis ligula adipiscing diam, eget varius purus eros vitae nibh. In ultricies dolor sit amet metus malesuada pellentesque. In feugiat massa eget elit mattis tincidunt. Pellentesque id elit eget nunc tempor dictum. Cras vel fringilla elit, at eleifend purus. Donec volutpat magna id vehicula tempus. Vestibulum lorem erat, pretium quis metus eleifend, hendrerit facilisis enim.",0000-00-00,,,"Charlie Brock"
